,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,Gain,Loss,bol_middle_band,bol_upper_band,bol_lower_band,rsi,ema10,momemntum,rate of change,ema14
0,0,0,0,2017-03-17,33.28162716083966,33.28162716083966,33.01962271784657,33.04322814941406,175540000,0.0,0.0,,0.0,0.0,,,,,33.04322814941406,,,33.04322814941406
1,1,1,1,2017-03-20,33.14001142563673,33.39965684175873,33.099885061633195,33.39021682739258,86168000,0.0,0.0,0.3469886779785156,0.3469886779785156,0.0,,,,,33.08949330647786,,,33.08949330647786
2,2,2,2,2017-03-21,33.54363948647289,33.70650763818573,32.98186321863652,33.00782775878906,158119600,0.0,0.0,-0.3823890686035156,0.0,0.3823890686035156,,,,,33.07860456678602,,,33.07860456678602
3,3,3,3,2017-03-22,33.01019453470675,33.423264523370015,32.98894819800958,33.38077545166016,103440800,0.0,0.0,0.37294769287110086,0.37294769287110086,0.0,,,,,33.11889401810257,,,33.11889401810257
4,4,4,4,2017-03-23,33.3430129071043,33.41854744452974,33.18958833027573,33.26276016235352,81385200,0.0,0.0,-0.11801528930664062,0.0,0.11801528930664062,,,,,33.138076170669365,,,33.138076170669365
5,5,5,5,2017-03-24,33.39965359326366,33.4563044790033,33.12820908600609,33.196659088134766,89582400,0.0,0.0,-0.0661010742187571,0.0,0.0661010742187571,,,,,33.14588722633142,,,33.14588722633142
6,6,6,6,2017-03-27,32.90160654121646,33.33356005638046,32.71985478199056,33.2533073425293,94300400,0.0,0.0,0.05664825439453125,0.05664825439453125,0.0,,,,,33.16020990849113,,,33.16020990849113
7,7,7,7,2017-03-28,33.260395244670875,33.99919795066167,33.191941631884355,33.94255065917969,133499200,0.0,0.0,0.6892433166503906,0.6892433166503906,0.0,,,,,33.264522008582944,,,33.264522008582944
8,8,8,8,2017-03-29,33.91421969177104,34.10541508460391,33.79856241655865,34.0180778503418,116760000,0.0,0.0,0.07552719116210938,0.07552719116210938,0.0,,,,,33.36499612081746,,,33.36499612081746
9,9,9,9,2017-03-30,34.034601146992465,34.10777295561052,33.87173300436062,33.973228454589844,84829200,0.0,0.0,-0.044849395751953125,0.0,0.044849395751953125,,,,,33.44609376532044,0.9300003051757812,3297.3228454589844,33.44609376532044
10,10,10,10,2017-03-31,33.9236657591083,34.053488466705346,33.75607579081318,33.90950393676758,78646800,0.0,0.0,-0.06372451782226562,0.0,0.06372451782226562,,,,,33.507881788180065,0.519287109375,3290.950393676758,33.507881788180065
11,11,11,11,2017-04-03,33.9213080174411,34.01808167454834,33.76552076207184,33.9189453125,79942800,0.0,0.0,0.009441375732421875,0.009441375732421875,0.0,,,,,33.56269025808939,0.9111175537109375,3291.89453125,33.56269025808939
12,12,12,12,2017-04-04,33.812719463002786,34.19982479830246,33.79383583668531,34.17150115966797,79565600,0.0,0.0,0.25255584716796875,0.25255584716796875,0.0,,,,,33.64386504496653,0.7907257080078054,3317.150115966797,33.64386504496653
13,13,13,13,2017-04-05,34.041683590398485,34.33437443973531,33.94490634162372,33.994476318359375,110871600,0.0,0.0,-0.17702484130859375,0.0,0.17702484130859375,,,,67.91119819799104,33.69061321475225,0.7317161560058523,3299.4476318359375,33.69061321475225
14,14,14,14,2017-04-06,34.05820667302944,34.11249846091452,33.859933956890806,33.90950393676758,84596000,0.0,0.0,-0.08497238159179688,0.0,0.08497238159179688,,,,65.80547810581197,33.71979864435429,0.7128448486328125,3290.950393676758,33.71979864435429
15,15,15,15,2017-04-07,33.92602456229593,34.03224183059644,33.81744819085424,33.83396911621094,66688800,0.0,0.0,-0.07553482055664062,0.0,0.07553482055664062,,,,58.98656885451313,33.735021373935176,0.5806617736816406,3283.3969116210938,33.735021373935176
16,16,16,16,2017-04-10,33.89534520253396,33.96143611393486,33.73011432234718,33.793846130371094,75733600,0.0,0.0,-0.04012298583984375,0.0,0.04012298583984375,,,,68.47968803811261,33.742864674793296,-0.14870452880859375,3279.3846130371094,33.742864674793296
17,17,17,17,2017-04-11,33.739555426459056,33.8363326829759,33.059759129324135,33.43034362792969,121517600,0.0,0.0,-0.36350250244140625,0.0,0.36350250244140625,,,,51.17057157476723,33.70119520187815,-0.5877342224121094,3243.0343627929688,33.70119520187815
18,18,18,18,2017-04-12,33.42326696135316,33.553086085911964,33.284000617736595,33.47047424316406,81400000,0.0,0.0,0.040130615234375,0.040130615234375,0.0,,,,55.09258133483953,33.67043240738294,-0.5027542114257812,3247.0474243164062,33.67043240738294
19,19,19,19,2017-04-13,33.49643631074899,33.607375395725285,33.29344177246094,33.29344177246094,71291600,0.0,0.0,-0.177032470703125,0.0,0.177032470703125,33.6097318649292,34.332861517479955,32.88660221237845,52.250435078793174,33.62016698939334,-0.6160621643066406,3229.3441772460938,33.62016698939334
20,20,20,20,2017-04-17,33.39493507363131,33.48935322582676,33.25095054300695,33.4775505065918,66328400,0.0,0.0,0.18410873413085938,0.18410873413085938,0.0,33.63144798278809,34.30942598334781,32.95346998222837,54.922425574104345,33.60115145835314,-0.4413948059082031,3247.7550506591797,33.60115145835314
21,21,21,21,2017-04-18,33.37841596058813,33.527118705634045,33.30760324301728,33.3288459777832,58790000,0.0,0.0,-0.14870452880859375,0.0,0.14870452880859375,33.62837944030762,34.31128812272215,32.94547075789309,32.336711278971464,33.56484406094381,-0.8426551818847656,3232.8845977783203,33.56484406094381
22,22,22,22,2017-04-19,33.489355149738905,33.51767879618257,33.151816088985946,33.20610427856445,69313600,0.0,0.0,-0.12274169921875,0.0,0.12274169921875,33.63829326629639,34.289569321610955,32.98701721098182,27.248590155243264,33.5170120899599,-0.7883720397949219,3220.6104278564453,33.5170120899599
23,23,23,23,2017-04-20,33.33356718320476,33.73483443993643,33.319405360283604,33.62153625488281,93278400,0.0,0.0,0.4154319763183594,0.4154319763183594,0.0,33.65033130645752,34.29081783269593,33.009844780219105,41.84019910501869,33.530948645282955,-0.2879676818847656,3262.1536254882812,33.530948645282955
24,24,24,24,2017-04-21,33.62153200007518,33.67817928459108,33.482269290061694,33.58140563964844,69283600,0.0,0.0,-0.040130615234375,0.0,0.040130615234375,33.666263580322266,34.28253130979948,33.04999585084505,42.30334876678545,33.53767624453169,-0.2525634765625,3258.1405639648438,33.53767624453169
25,25,25,25,2017-04-24,33.871735889630216,33.97795315640373,33.79620136998781,33.904781341552734,68537200,0.0,0.0,0.3233757019042969,0.3233757019042969,0.0,33.701669692993164,34.286161641006586,33.11717774497974,49.71039203542999,33.58662359080117,0.11093521118164062,3290.4781341552734,33.58662359080117
