,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,Gain,Loss,bol_middle_band,bol_upper_band,bol_lower_band,rsi,ema10,momemntum,rate of change,ema14
14,14,14,14,14,14,2017-04-06,59.3759994506836,60.38800048828125,58.81999969482422,59.7400016784668,27603000,0,0.0,0.7400016784667969,0.7400016784667969,0.0,,,,73.94440204799409,56.31404947950643,7.108001708984375,5874.00016784668,56.31404947950643
15,15,15,15,15,15,2017-04-07,59.5,60.53799819946289,59.43000030517578,60.507999420166016,22898000,0,0.0,0.7679977416992188,0.7679977416992188,0.0,,,,75.04316818494186,56.87324280492771,6.464000701904297,5950.799942016602,56.87324280492771
16,16,16,16,16,16,2017-04-10,61.83000183105469,62.74599838256836,61.742000579833984,62.47800064086914,38322500,0,0.0,1.970001220703125,1.970001220703125,0.0,,,,88.70907341510694,57.62054384971991,6.987998962402344,6147.800064086914,57.62054384971991
17,17,17,17,17,17,2017-04-11,62.67599868774414,62.69400024414063,61.09999847412109,61.742000579833984,28623000,0,0.0,-0.7360000610351562,0.0,0.7360000610351562,,,,83.96155290889962,58.17007141373512,6.265998840332031,6074.200057983398,58.17007141373512
18,18,18,18,18,18,2017-04-12,61.26800155639648,61.68999862670898,59.26399993896485,59.36800003051758,30253500,0,0.0,-2.3740005493164062,0.0,2.3740005493164062,,,,73.18632101113432,58.32979522930612,3.7840003967285156,5836.800003051758,58.32979522930612
19,19,19,19,19,19,2017-04-13,59.34000015258789,61.47800064086914,59.060001373291016,60.79999923706055,46423000,0,0.0,1.4319992065429688,1.4319992065429688,0.0,56.48720016479492,64.42503678890718,48.54936354068266,72.82073527123438,58.65915576367338,5.1399993896484375,5979.999923706055,58.65915576367338
20,20,20,20,20,20,2017-04-17,60.540000915527344,60.79999923706055,59.73600006103516,60.28799819946289,20693500,0,0.0,-0.5120010375976562,0.0,0.5120010375976562,56.88660011291504,64.74408752974713,49.02911269608295,68.36901998271311,58.876334755111984,0.5839996337890625,5928.799819946289,58.876334755111984
21,21,21,21,21,21,2017-04-18,59.93999862670898,60.167999267578125,59.58000183105469,60.04999923706055,15178500,0,0.0,-0.23799896240234375,0.0,0.23799896240234375,57.26990013122558,64.95561784375535,49.58418241869582,64.44133828493281,59.03282335270512,-0.69000244140625,5904.999923706055,59.03282335270512
22,22,22,22,22,22,2017-04-19,60.492000579833984,61.32400131225586,60.422000885009766,61.104000091552734,19490000,0,0.0,1.0540008544921875,1.0540008544921875,0.0,57.81830005645752,64.92719859731898,50.70940151559605,66.72212197598927,59.30898025121814,2.1040000915527344,6010.400009155273,59.30898025121814
23,23,23,23,23,23,2017-04-20,61.30199813842773,61.83000183105469,60.04600143432617,60.50199890136719,30747000,0,0.0,-0.6020011901855469,0.0,0.6020011901855469,58.29330005645752,64.74978175680077,51.836818356114264,64.1958131279097,59.46804940457135,0.7619972229003906,5950.199890136719,59.468049404571346
