,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,Gain,Loss,bol_middle_band,bol_upper_band,bol_lower_band,rsi,ema10,momemntum,rate of change,ema14
0,0,0,0,0,0,2017-03-17,853.489990234375,853.8300170898438,850.6400146484375,852.3099975585938,3384400,0,0,,0.0,0.0,,,,,852.3099975585938,,,852.3099975585938
1,1,1,1,1,1,2017-03-20,851.510009765625,857.7999877929688,851.010009765625,856.969970703125,2282700,0,0,4.65997314453125,4.65997314453125,0.0,,,,,852.931327311198,,,852.931327311198
2,2,2,2,2,2,2017-03-21,858.8400268554688,862.7999877929688,841.3099975585938,843.2000122070312,4382900,0,0,-13.76995849609375,0.0,13.76995849609375,,,,,851.6338186306424,,,851.6338186306424
3,3,3,3,3,3,2017-03-22,840.4299926757812,849.3699951171875,839.0499877929688,848.0599975585938,2658700,0,0,4.8599853515625,4.8599853515625,0.0,,,,,851.1573091543693,,,851.1573091543693
4,4,4,4,4,4,2017-03-23,848.2000122070312,850.8900146484375,844.7999877929688,847.3800048828125,1953000,0,0,-0.67999267578125,0.0,0.67999267578125,,,,,850.6536685848284,,,850.6536685848284
5,5,5,5,5,5,2017-03-24,851.6799926757812,851.7999877929688,843.530029296875,845.6099853515625,2138300,0,0,-1.77001953125,0.0,1.77001953125,,,,,849.9811774870597,,,849.9811774870597
6,6,6,6,6,6,2017-03-27,838.0700073242188,850.2999877929688,833.5,846.8200073242188,2755800,0,0,1.21002197265625,1.21002197265625,0.0,,,,,849.5596881320142,,,849.5596881320142
7,7,7,7,7,7,2017-03-28,851.75,858.4600219726562,850.0999755859375,856.0,3041600,0,0,9.17999267578125,9.17999267578125,0.0,,,,,850.418396381079,,,850.418396381079
8,8,8,8,8,8,2017-03-29,859.0499877929688,876.4400024414062,859.02001953125,874.3200073242188,4485800,0,0,18.32000732421875,18.32000732421875,0.0,,,,,853.6052778401643,,,853.6052778401643
9,9,9,9,9,9,2017-03-30,874.9500122070312,877.0599975585938,871.6599731445312,876.3400268554688,2762700,0,0,2.02001953125,2.02001953125,0.0,,,,,856.6365777088715,24.030029296875,87534.00268554688,856.6365777088715
10,10,10,10,10,10,2017-03-31,877.0,890.3499755859375,876.6500244140625,886.5399780273438,3957600,0,0,10.199951171875,10.199951171875,0.0,,,,,860.6236977513345,29.57000732421875,88553.99780273438,860.6236977513345
11,11,11,11,11,11,2017-04-03,888.0,893.489990234375,885.4199829101562,891.510009765625,3422300,0,0,4.97003173828125,4.97003173828125,0.0,,,,,864.7418726865733,48.30999755859375,89051.0009765625,864.7418726865733
12,12,12,12,12,12,2017-04-04,891.5,908.5399780273438,890.280029296875,906.8300170898438,4984700,0,0,15.32000732421875,15.32000732421875,0.0,,,,,870.353625273676,58.77001953125,90583.00170898438,870.353625273676
13,13,13,13,13,13,2017-04-05,910.8200073242188,923.719970703125,905.6199951171876,909.280029296875,7508400,0,0,2.45001220703125,2.45001220703125,0.0,,,,81.85887979531611,875.5438124767692,61.9000244140625,90828.0029296875,875.5438124767692
14,14,14,14,14,14,2017-04-06,913.7999877929688,917.1900024414062,894.489990234375,898.280029296875,6344100,0,0,-11.0,0.0,11.0,,,,72.89116822694069,878.5753080527833,52.6700439453125,89728.0029296875,878.5753080527833
15,15,15,15,15,15,2017-04-07,899.6500244140625,900.0900268554688,889.3099975585938,894.8800048828125,3710900,0,0,-3.4000244140625,0.0,3.4000244140625,,,,69.11751126826283,880.7492676301205,48.05999755859375,89388.00048828125,880.7492676301205
16,16,16,16,16,16,2017-04-10,899.6300048828125,908.510009765625,899.0,907.0399780273438,3184300,0,0,12.15997314453125,12.15997314453125,0.0,,,,82.72500525625495,884.2546956830836,51.03997802734375,90603.99780273438,884.2546956830836
17,17,17,17,17,17,2017-04-11,907.0399780273438,911.239990234375,897.5,902.3599853515624,3012700,0,0,-4.679992675781364,0.0,4.679992675781364,,,,77.88617600760297,886.6687343055474,28.039978027343636,90135.99853515624,886.6687343055474
18,18,18,18,18,18,2017-04-12,903.0900268554688,904.0900268554688,895.25,896.22998046875,2456100,0,0,-6.130004882812386,0.0,6.130004882812386,,,,73.75739118045166,887.9435671273079,19.88995361328125,89522.998046875,887.9435671273079
19,19,19,19,19,19,2017-04-13,891.4500122070312,894.969970703125,884.489990234375,884.6699829101562,3174600,0,0,-11.55999755859375,0.0,11.55999755859375,876.2315002441406,923.778416844066,828.6845836442153,67.3445758681381,887.5070892316877,-1.8699951171875,88366.99829101562,887.5070892316877
20,20,20,20,20,20,2017-04-17,887.5,902.3800048828124,887.5,901.989990234375,2854700,0,0,17.32000732421875,17.32000732421875,0.0,878.7154998779297,926.1940233081115,831.2369764477479,71.43189087555156,889.4381426987127,10.47998046875,90098.9990234375,889.4381426987127
21,21,21,21,21,21,2017-04-18,900.989990234375,909.6099853515624,900.780029296875,903.780029296875,2999200,0,0,1.7900390625,1.7900390625,0.0,881.0560028076172,928.6319544641977,833.4800511510367,69.69172534396401,891.3503942451343,-3.04998779296875,90278.0029296875,891.3503942451343
22,22,22,22,22,22,2017-04-19,907.8400268554688,910.5,897.3699951171875,899.2000122070312,2870200,0,0,-4.58001708984375,0.0,4.58001708984375,883.8560028076172,928.6731510961091,839.0388545191253,61.563481509050305,892.3970099733873,-10.08001708984375,89820.00122070312,892.3970099733873
23,23,23,23,23,23,2017-04-20,899.7000122070312,905.3200073242188,896.2899780273438,902.0599975585938,2814400,0,0,2.8599853515625,2.8599853515625,0.0,886.5560028076172,928.8292083980685,844.2827972171659,61.86126188811465,893.6854083180815,3.77996826171875,90105.99975585938,893.6854083180815
24,24,24,24,24,24,2017-04-21,902.6699829101562,903.6500244140624,896.77001953125,898.530029296875,2420500,0,0,-3.52996826171875,0.0,3.52996826171875,889.1135040283203,927.5745433848825,850.6524646717581,55.89191355147615,894.3313577819207,3.6500244140625,89753.0029296875,894.3313577819207
25,25,25,25,25,25,2017-04-24,908.6799926757812,909.989990234375,903.8200073242188,907.4099731445312,3122900,0,0,8.87994384765625,8.87994384765625,0.0,892.2035034179687,925.7545277600544,858.652479075883,57.52411859747344,896.0751731636021,0.3699951171875,90640.99731445312,896.0751731636021
26,26,26,26,26,26,2017-04-25,907.0399780273438,909.47998046875,903.0,907.6199951171876,3380600,0,0,0.2100219726563637,0.2100219726563637,0.0,895.2435028076172,922.0746835030234,868.4123221122111,50.436211007090385,897.6144827574135,5.260009765625227,90661.99951171876,897.6144827574135
27,27,27,27,27,27,2017-04-26,910.2999877929688,915.75,907.5599975585938,909.2899780273438,2608900,0,0,1.6699829101561363,1.6699829101561363,0.0,897.9080017089843,918.3949104844235,877.4210929335452,50.005541235974384,899.1712154600709,13.05999755859375,90828.99780273438,899.1712154600709
28,28,28,28,28,28,2017-04-27,914.3900146484376,921.8599853515624,912.1099853515624,918.3800048828124,5305500,0,0,9.090026855468636,9.090026855468636,0.0,900.1110015869141,919.4068397592121,880.8151634146161,61.43864041492237,901.7323873831032,33.710021972656136,91738.00048828124,901.7323873831031
29,29,29,29,29,29,2017-04-28,948.8300170898438,949.5900268554688,924.3300170898438,924.989990234375,7364700,0,0,6.609985351562614,6.609985351562614,0.0,902.5434997558593,921.4987382804277,883.588261231291,66.53124141305149,904.833401096606,23.0,92398.9990234375,904.833401096606
30,30,30,30,30,30,2017-05-01,927.7999877929688,954.4000244140624,927.7999877929688,948.22998046875,5466500,0,0,23.239990234375,23.239990234375,0.0,905.6279998779297,931.9161242601816,879.3398754956778,70.16153558891628,910.6196116795586,44.449951171875,94722.998046875,910.6196116795586
31,31,31,31,31,31,2017-05-02,946.6500244140624,950.0999755859376,941.4099731445312,946.9400024414062,3848800,0,0,-1.28997802734375,0.0,1.28997802734375,908.3994995117188,939.4603656026368,877.3386334208008,72.56988671162118,915.462330447805,47.739990234375,94594.00024414062,915.462330447805
32,32,32,32,32,32,2017-05-03,946.0,946.0,935.9000244140624,941.030029296875,3582700,0,0,-5.90997314453125,0.0,5.90997314453125,910.1095001220704,944.2816589788229,875.9373412653179,72.73192945335892,918.8713569610144,38.97003173828125,94003.0029296875,918.8713569610144
33,33,33,33,33,33,2017-05-04,944.75,945.0,934.219970703125,937.530029296875,2418400,0,0,-3.5,0.0,3.5,911.5220001220703,947.7373650339375,875.306635210203,79.21092697563381,921.3591799391291,39.0,93653.0029296875,921.3591799391291
34,34,34,34,34,34,2017-05-05,940.52001953125,940.7899780273438,930.2999877929688,934.1500244140624,2866400,0,0,-3.3800048828126137,0.0,3.3800048828126137,913.3154998779297,950.2832955996292,876.3477041562302,71.00866805419318,923.0646258691204,26.740051269531136,93315.00244140624,923.0646258691203
35,35,35,35,35,35,2017-05-08,940.9500122070312,949.0499877929688,939.2100219726562,949.0399780273438,3415700,0,0,14.889953613281364,14.889953613281364,0.0,916.0234985351562,955.091235943268,876.9557611270445,75.24544499437917,926.5280061568834,41.419982910156136,94803.99780273438,926.5280061568834
36,36,36,36,36,36,2017-05-09,952.7999877929688,957.8900146484376,950.2000122070312,952.8200073242188,3262100,0,0,3.780029296875,3.780029296875,0.0,918.3125,960.2951661213091,876.3298338786909,80.17789814448395,930.033606312528,43.530029296875,95182.00073242188,930.0336063125281
37,37,37,37,37,37,2017-05-10,953.5,953.75,945.0,948.9500122070312,2096500,0,0,-3.8699951171875,0.0,3.8699951171875,920.6420013427735,963.988664302418,877.295338383129,76.09353984104334,932.5557937651286,30.570007324218864,94795.00122070312,932.5557937651286
38,38,38,38,38,38,2017-05-11,945.1099853515624,950.2899780273438,940.780029296875,947.6199951171876,2194100,0,0,-1.3300170898436363,0.0,1.3300170898436363,923.2115020751953,966.5577422088872,879.8652619415034,78.00343440645771,934.5643539454032,22.630004882812614,94661.99951171876,934.5643539454031
39,39,39,39,39,39,2017-05-12,954.5,962.7899780273438,951.530029296875,961.3499755859376,3625900,0,0,13.72998046875,13.72998046875,0.0,927.0455017089844,969.627256731961,884.4637466860078,79.15677731522999,938.135770164141,13.119995117187614,96034.99755859376,938.135770164141
40,40,40,40,40,40,2017-05-15,958.72998046875,963.1500244140624,956.0599975585938,957.969970703125,4270600,0,0,-3.3800048828126137,0.0,3.3800048828126137,929.8445007324219,972.8323289961392,886.8566724687047,76.3144228609925,940.7803302360056,11.02996826171875,95696.9970703125,940.7803302360056
41,41,41,41,41,41,2017-05-16,961.0,970.0599975585938,960.9099731445312,966.0700073242188,3126100,0,0,8.10003662109375,8.10003662109375,0.0,932.9589996337891,976.9669548137526,888.9510444538255,77.80609347407882,944.1522871811007,25.03997802734375,96507.00073242188,944.1522871811007
42,42,42,42,42,42,2017-05-17,954.7000122070312,960.4000244140624,944.1199951171876,944.760009765625,5145600,0,0,-21.30999755859375,0.0,21.30999755859375,935.2369995117188,976.6307708992913,893.8432281241462,61.53779621979075,944.2333168590374,7.22998046875,94376.0009765625,944.2333168590374
43,43,43,43,43,43,2017-05-18,944.7999877929688,962.75,944.760009765625,958.489990234375,3939300,0,0,13.72998046875,13.72998046875,0.0,938.0584991455078,977.6567789009323,898.4602193900832,63.79282615426058,946.1342066424156,24.339965820312614,95748.9990234375,946.1342066424157
44,44,44,44,44,44,2017-05-19,962.8400268554688,968.9199829101562,959.719970703125,959.8400268554688,3972100,0,0,1.35003662109375,1.35003662109375,0.0,941.1239990234375,977.3183053953467,904.9296926515283,55.83126459586504,947.9616493374896,10.800048828125,95884.00268554688,947.9616493374895
45,45,45,45,45,45,2017-05-22,964.0,971.3800048828124,962.9000244140624,970.6699829101562,2642200,0,0,10.8299560546875,10.8299560546875,0.0,944.2869995117187,979.161919664517,909.4120793589204,60.87633509200872,950.9894271471784,17.8499755859375,96966.99829101562,950.9894271471784
46,46,46,46,46,46,2017-05-23,975.02001953125,975.2000122070312,966.8499755859376,971.5399780273438,2415600,0,0,0.8699951171875,0.8699951171875,0.0,947.4829986572265,979.9374090157772,915.0285882986758,64.66119765010218,953.7295005978672,22.5899658203125,97053.99780273438,953.7295005978672
47,47,47,47,47,47,2017-05-24,976.0,981.0,970.22998046875,980.3499755859376,2446000,0,0,8.809997558593864,8.809997558593864,0.0,951.0359985351563,981.4616185229517,920.6103785473609,69.57752012832117,957.2788972629432,32.72998046875,97934.99755859376,957.2788972629432
48,48,48,48,48,48,2017-05-25,984.8499755859376,999.0,982.1099853515624,993.3800048828124,4822000,0,0,13.030029296874773,13.030029296874773,0.0,954.7859985351563,986.6570453686285,922.9149517016841,74.88445324279692,962.0923782789258,32.03002929687477,99238.00048828124,962.0923782789258
