,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,Gain,Loss,bol_middle_band,bol_upper_band,bol_lower_band,rsi,ema10,momemntum,rate of change,ema14
0,0,0,0,0,0,2019-05-10,42.0,45.0,41.060001373291016,41.56999969482422,186322500,0,0,,0.0,0.0,,,,,41.56999969482422,,,41.56999969482422
1,1,1,1,1,1,2019-05-13,38.790000915527344,39.2400016784668,36.08000183105469,37.09999847412109,79442400,0,0,-4.470001220703132,0.0,4.470001220703132,,,,,40.97399953206381,,,40.97399953206381
2,2,2,2,2,2,2019-05-14,38.310001373291016,39.959999084472656,36.84999847412109,39.959999084472656,46661100,0,0,2.8600006103515696,2.8600006103515696,0.0,,,,,40.83879947238498,,,40.838799472384984
3,3,3,3,3,3,2019-05-15,39.369998931884766,41.880001068115234,38.95000076293945,41.290000915527344,36086100,0,0,1.3300018310546875,1.3300018310546875,0.0,,,,,40.89895966480397,,,40.89895966480397
4,4,4,4,4,4,2019-05-16,41.47999954223633,44.060001373291016,41.25,43.0,38115500,0,0,1.7099990844726562,1.7099990844726562,0.0,,,,,41.17909837616344,,,41.17909837616344
5,5,5,5,5,5,2019-05-17,41.97999954223633,43.290000915527344,41.27000045776367,41.90999984741211,20225700,0,0,-1.0900001525878906,0.0,1.0900001525878906,,,,,41.27655190566326,,,41.27655190566326
6,6,6,6,6,6,2019-05-20,41.18999862670898,41.68000030517578,39.459999084472656,41.59000015258789,29222300,0,0,-0.31999969482421875,0.0,0.31999969482421875,,,,,41.318345005253214,,,41.318345005253214
7,7,7,7,7,7,2019-05-21,42.0,42.2400016784668,41.25,41.5,10802900,0,0,-0.09000015258789062,0.0,0.09000015258789062,,,,,41.342565671219454,,,41.342565671219454
8,8,8,8,8,8,2019-05-22,41.04999923706055,41.27999877929688,40.5,41.25,9089500,0,0,-0.25,0.0,0.25,,,,,41.33022358172353,,,41.33022358172353
9,9,9,9,9,9,2019-05-23,40.79999923706055,41.09000015258789,40.02000045776367,40.470001220703125,11119900,0,0,-0.779998779296875,0.0,0.779998779296875,,,,,41.21552726692081,-1.0999984741210938,3947.0001220703125,41.21552726692081
